activity_id,start_time,end_time,date
985,10:22 PM,7:29 AM,3/8/2024
426,9:45 PM,8:44 AM,12/21/2023
871,3:02 PM,12:27 AM,1/7/2024
503,4:41 AM,8:41 AM,2/12/2024
670,7:33 AM,3:31 PM,1/8/2024
1123,8:01 PM,8:14 AM,8/22/2024
471,4:32 AM,1:58 AM,1/5/2024
1017,11:51 PM,5:46 AM,6/1/2024
646,2:35 AM,7:26 AM,8/28/2024
985,8:32 AM,8:23 PM,8/8/2024
644,8:15 PM,12:58 PM,1/22/2024
397,7:28 AM,8:55 PM,10/19/2024
534,7:13 AM,5:06 AM,3/10/2024
855,5:50 PM,7:02 PM,2/3/2024
684,6:56 PM,12:14 PM,5/16/2024
499,9:12 PM,10:33 AM,8/6/2024
1082,1:09 AM,8:04 PM,10/17/2024
686,6:19 AM,3:51 PM,3/18/2024
895,6:43 PM,10:40 AM,11/5/2024
585,11:35 AM,11:34 AM,1/22/2024
1035,8:11 AM,7:13 AM,2/20/2024
974,10:06 PM,12:14 AM,8/30/2024
605,5:13 PM,7:27 AM,3/31/2024
997,4:05 PM,6:46 PM,5/10/2024
752,7:56 AM,5:22 PM,10/19/2024
1023,6:47 PM,3:07 PM,11/13/2024
963,6:57 PM,1:24 AM,4/26/2024
474,8:01 AM,5:53 PM,6/6/2024
502,3:42 AM,7:22 AM,2/29/2024
410,9:44 PM,10:28 AM,8/30/2024
523,1:50 AM,3:22 AM,6/15/2024
566,8:14 AM,11:30 PM,2/22/2024
583,5:20 PM,12:07 AM,3/27/2024
959,2:04 PM,1:52 PM,8/8/2024
787,8:03 PM,2:01 PM,7/16/2024
937,1:16 AM,11:20 PM,12/1/2024
608,2:58 AM,1:12 PM,1/2/2024
571,6:48 PM,11:37 PM,8/4/2024
1000,12:35 PM,6:03 PM,2/5/2024
1057,4:49 AM,3:03 PM,3/24/2024
711,8:49 AM,10:54 PM,11/26/2024
855,4:31 PM,6:49 PM,4/23/2024
957,3:51 PM,12:37 AM,3/14/2024
453,7:40 AM,3:29 PM,5/25/2024
533,3:14 AM,12:31 AM,8/31/2024
712,6:47 AM,12:32 AM,9/14/2024
1064,1:38 AM,7:33 PM,1/30/2024
787,11:53 PM,5:54 PM,8/28/2024
694,8:25 AM,5:11 AM,9/3/2024
434,2:31 AM,12:34 AM,7/15/2024
991,5:32 AM,11:59 AM,6/14/2024
1060,3:38 PM,9:14 AM,12/17/2023
960,6:16 AM,3:13 AM,10/31/2024
961,6:00 AM,8:41 PM,10/16/2024
515,1:23 PM,11:42 AM,4/17/2024
970,12:45 PM,10:22 PM,4/22/2024
608,2:25 PM,11:51 AM,8/25/2024
879,5:45 PM,6:02 AM,6/25/2024
492,1:18 PM,8:24 AM,8/25/2024
955,3:12 PM,9:36 AM,10/16/2024
537,6:15 PM,8:10 PM,7/22/2024
454,5:43 PM,5:53 PM,7/29/2024
735,4:06 AM,12:24 PM,3/8/2024
679,9:59 PM,2:41 AM,6/4/2024
934,6:55 PM,9:35 AM,4/12/2024
1043,2:57 PM,9:15 AM,12/8/2024
945,4:24 AM,2:39 PM,9/17/2024
438,8:21 AM,1:57 PM,12/1/2024
822,6:52 PM,5:09 PM,5/29/2024
676,2:11 AM,11:01 AM,11/16/2024
555,8:19 AM,10:12 AM,4/3/2024
442,7:46 AM,11:21 PM,12/21/2023
473,8:46 PM,4:20 PM,4/11/2024
608,4:50 AM,9:39 PM,1/4/2024
1093,8:37 PM,11:50 AM,9/13/2024
971,9:57 AM,11:40 PM,11/6/2024
1061,8:23 PM,10:53 PM,3/25/2024
1069,10:09 AM,6:57 PM,6/26/2024
571,4:51 PM,4:40 AM,5/26/2024
705,10:30 AM,3:09 AM,10/4/2024
718,7:09 AM,11:25 PM,1/29/2024
746,9:13 PM,6:15 AM,3/31/2024
477,11:52 AM,8:56 PM,11/14/2024
867,7:03 AM,7:05 AM,4/28/2024
992,9:18 AM,5:23 PM,9/21/2024
902,12:56 AM,2:44 AM,3/1/2024
775,4:30 AM,10:20 PM,3/30/2024
791,4:26 PM,2:45 PM,3/19/2024
1106,1:40 AM,6:56 PM,6/23/2024
450,4:10 PM,1:42 PM,11/4/2024
418,3:52 PM,8:59 PM,6/12/2024
779,1:14 AM,11:06 AM,7/30/2024
740,6:57 PM,9:59 AM,1/11/2024
1028,5:38 PM,9:30 AM,11/14/2024
1032,4:22 AM,3:52 PM,5/2/2024
418,11:24 AM,10:57 AM,5/15/2024
644,7:18 PM,8:07 AM,10/26/2024
446,4:59 AM,12:59 AM,8/16/2024
1037,3:23 PM,5:55 PM,11/13/2024
756,10:14 AM,8:01 AM,4/23/2024
999,12:25 AM,6:01 AM,10/11/2024
871,4:17 AM,4:38 AM,11/26/2024
492,8:21 PM,8:07 PM,12/1/2024
1117,2:43 PM,2:31 AM,8/14/2024
982,12:40 PM,10:32 AM,8/10/2024
1020,10:00 PM,3:11 PM,9/21/2024
788,12:23 AM,11:36 AM,8/1/2024
557,1:24 PM,4:39 PM,2/28/2024
957,10:23 AM,2:05 AM,1/12/2024
579,5:37 AM,9:38 AM,6/9/2024
774,12:57 PM,6:50 AM,12/10/2024
733,2:44 PM,10:52 PM,2/25/2024
840,2:50 PM,2:41 AM,4/25/2024
1077,3:10 PM,6:11 PM,2/19/2024
821,5:32 AM,5:53 PM,7/18/2024
444,12:12 AM,5:43 PM,1/29/2024
1042,11:29 PM,1:50 PM,10/9/2024
953,2:31 PM,12:02 AM,1/17/2024
428,10:21 AM,12:54 PM,12/21/2023
506,8:09 PM,2:32 PM,9/15/2024
913,2:10 AM,8:55 AM,10/17/2024
416,12:44 PM,1:35 PM,11/20/2024
713,9:38 PM,6:13 PM,6/11/2024
931,12:29 AM,8:08 AM,6/24/2024
724,10:35 AM,7:53 PM,8/9/2024
819,8:23 AM,12:35 AM,9/13/2024
710,11:47 PM,3:20 PM,7/31/2024
1107,6:17 AM,1:49 PM,5/10/2024
998,6:54 PM,7:18 PM,7/13/2024
912,10:38 AM,5:36 PM,3/18/2024
780,9:20 AM,2:10 AM,2/18/2024
866,11:21 PM,10:34 AM,9/15/2024
843,5:57 PM,3:44 PM,2/16/2024
462,3:35 AM,7:28 AM,9/20/2024
1009,12:59 AM,11:03 AM,2/12/2024
546,5:36 AM,4:19 AM,8/30/2024
421,7:39 PM,2:58 AM,7/11/2024
405,6:52 AM,9:30 PM,5/5/2024
730,6:00 AM,3:22 AM,9/7/2024
540,4:27 AM,8:31 PM,9/18/2024
1032,12:04 AM,9:48 AM,7/1/2024
945,8:17 PM,12:09 PM,1/29/2024
978,1:34 AM,8:46 PM,9/1/2024
880,7:01 PM,12:30 AM,3/4/2024
588,6:21 AM,6:53 PM,12/15/2023
987,1:20 PM,11:13 AM,5/8/2024
661,11:14 PM,10:17 AM,5/23/2024
441,12:26 PM,6:35 AM,8/31/2024
1046,11:26 PM,7:32 AM,3/19/2024
561,10:00 PM,6:54 AM,4/7/2024
1038,3:04 PM,11:21 AM,2/19/2024
967,8:15 PM,1:18 PM,1/8/2024
744,2:33 AM,10:39 PM,8/22/2024
1070,8:05 AM,1:36 PM,8/19/2024
988,4:55 PM,9:18 AM,10/10/2024
986,4:35 PM,11:09 PM,7/2/2024
623,5:32 AM,9:35 AM,4/26/2024
810,7:04 PM,6:43 AM,12/1/2024
1120,12:28 AM,10:30 PM,11/25/2024
640,12:48 AM,4:06 AM,6/21/2024
991,1:42 PM,10:51 PM,3/12/2024
745,4:03 PM,1:13 PM,5/14/2024
419,2:45 AM,4:40 AM,7/5/2024
